2023-03-10 19:14:31.313872 Epoch [017/025], Step [0120/0253], [lateral-3: 0.2836], [lateral-2: 0.2161], [lateral-1: 0.2050], [edge: 0.2719]
2023-03-10 19:14:56.525681 Epoch [017/025], Step [0180/0253], [lateral-3: 0.2822], [lateral-2: 0.2144], [lateral-1: 0.2029], [edge: 0.2686]
2023-03-10 19:15:21.708715 Epoch [017/025], Step [0240/0253], [lateral-3: 0.2824], [lateral-2: 0.2142], [lateral-1: 0.2021], [edge: 0.2683]
2023-03-10 19:15:26.936476 Epoch [017/025], Step [0253/0253], [lateral-3: 0.2830], [lateral-2: 0.2146], [lateral-1: 0.2023], [edge: 0.2683]
2023-03-10 19:15:53.258134 Epoch [018/025], Step [0060/0253], [lateral-3: 0.2755], [lateral-2: 0.2067], [lateral-1: 0.1942], [edge: 0.2612]
2023-03-10 19:16:18.398989 Epoch [018/025], Step [0120/0253], [lateral-3: 0.2777], [lateral-2: 0.2080], [lateral-1: 0.1953], [edge: 0.2637]
2023-03-10 19:16:43.649333 Epoch [018/025], Step [0180/0253], [lateral-3: 0.2782], [lateral-2: 0.2087], [lateral-1: 0.1959], [edge: 0.2628]
2023-03-10 19:17:08.920084 Epoch [018/025], Step [0240/0253], [lateral-3: 0.2772], [lateral-2: 0.2083], [lateral-1: 0.1952], [edge: 0.2617]
2023-03-10 19:17:14.176890 Epoch [018/025], Step [0253/0253], [lateral-3: 0.2768], [lateral-2: 0.2080], [lateral-1: 0.1951], [edge: 0.2624]
2023-03-10 19:17:40.433347 Epoch [019/025], Step [0060/0253], [lateral-3: 0.2716], [lateral-2: 0.2002], [lateral-1: 0.1864], [edge: 0.2545]
2023-03-10 19:18:05.512314 Epoch [019/025], Step [0120/0253], [lateral-3: 0.2726], [lateral-2: 0.2022], [lateral-1: 0.1882], [edge: 0.2538]
2023-03-10 19:18:30.622300 Epoch [019/025], Step [0180/0253], [lateral-3: 0.2704], [lateral-2: 0.2011], [lateral-1: 0.1876], [edge: 0.2557]
2023-03-10 19:18:55.786143 Epoch [019/025], Step [0240/0253], [lateral-3: 0.2705], [lateral-2: 0.2011], [lateral-1: 0.1875], [edge: 0.2562]
2023-03-10 19:19:01.026100 Epoch [019/025], Step [0253/0253], [lateral-3: 0.2710], [lateral-2: 0.2017], [lateral-1: 0.1879], [edge: 0.2564]
[Saving Snapshot:]checkpoints/BGNet/BGNet-19.pth
2023-03-10 19:19:27.797215 Epoch [020/025], Step [0060/0253], [lateral-3: 0.2617], [lateral-2: 0.1932], [lateral-1: 0.1788], [edge: 0.2507]
2023-03-10 19:19:52.969965 Epoch [020/025], Step [0120/0253], [lateral-3: 0.2643], [lateral-2: 0.1951], [lateral-1: 0.1806], [edge: 0.2499]
2023-03-10 19:20:18.205949 Epoch [020/025], Step [0180/0253], [lateral-3: 0.2663], [lateral-2: 0.1960], [lateral-1: 0.1810], [edge: 0.2514]
2023-03-10 19:20:43.351079 Epoch [020/025], Step [0240/0253], [lateral-3: 0.2650], [lateral-2: 0.1954], [lateral-1: 0.1807], [edge: 0.2511]
2023-03-10 19:20:48.591562 Epoch [020/025], Step [0253/0253], [lateral-3: 0.2649], [lateral-2: 0.1954], [lateral-1: 0.1808], [edge: 0.2510]
2023-03-10 19:21:14.873529 Epoch [021/025], Step [0060/0253], [lateral-3: 0.2656], [lateral-2: 0.1948], [lateral-1: 0.1795], [edge: 0.2477]
2023-03-10 19:21:39.954799 Epoch [021/025], Step [0120/0253], [lateral-3: 0.2617], [lateral-2: 0.1915], [lateral-1: 0.1766], [edge: 0.2458]
2023-03-10 19:22:04.906319 Epoch [021/025], Step [0180/0253], [lateral-3: 0.2600], [lateral-2: 0.1899], [lateral-1: 0.1749], [edge: 0.2466]
2023-03-10 19:22:29.948962 Epoch [021/025], Step [0240/0253], [lateral-3: 0.2600], [lateral-2: 0.1906], [lateral-1: 0.1757], [edge: 0.2469]
2023-03-10 19:22:35.177856 Epoch [021/025], Step [0253/0253], [lateral-3: 0.2602], [lateral-2: 0.1906], [lateral-1: 0.1756], [edge: 0.2465]
2023-03-10 19:23:01.313878 Epoch [022/025], Step [0060/0253], [lateral-3: 0.2594], [lateral-2: 0.1871], [lateral-1: 0.1715], [edge: 0.2394]
2023-03-10 19:23:26.447379 Epoch [022/025], Step [0120/0253], [lateral-3: 0.2587], [lateral-2: 0.1888], [lateral-1: 0.1732], [edge: 0.2406]
2023-03-10 19:23:51.711337 Epoch [022/025], Step [0180/0253], [lateral-3: 0.2570], [lateral-2: 0.1876], [lateral-1: 0.1723], [edge: 0.2414]
2023-03-10 19:24:16.923591 Epoch [022/025], Step [0240/0253], [lateral-3: 0.2579], [lateral-2: 0.1882], [lateral-1: 0.1727], [edge: 0.2429]
2023-03-10 19:24:22.183918 Epoch [022/025], Step [0253/0253], [lateral-3: 0.2580], [lateral-2: 0.1882], [lateral-1: 0.1727], [edge: 0.2434]
2023-03-10 19:24:48.449774 Epoch [023/025], Step [0060/0253], [lateral-3: 0.2488], [lateral-2: 0.1799], [lateral-1: 0.1640], [edge: 0.2390]
2023-03-10 19:25:13.628244 Epoch [023/025], Step [0120/0253], [lateral-3: 0.2533], [lateral-2: 0.1821], [lateral-1: 0.1656], [edge: 0.2384]
2023-03-10 19:25:38.787388 Epoch [023/025], Step [0180/0253], [lateral-3: 0.2544], [lateral-2: 0.1842], [lateral-1: 0.1680], [edge: 0.2394]
2023-03-10 19:26:03.956914 Epoch [023/025], Step [0240/0253], [lateral-3: 0.2530], [lateral-2: 0.1830], [lateral-1: 0.1671], [edge: 0.2385]
2023-03-10 19:26:09.212174 Epoch [023/025], Step [0253/0253], [lateral-3: 0.2535], [lateral-2: 0.1834], [lateral-1: 0.1674], [edge: 0.2390]
2023-03-10 19:26:35.363530 Epoch [024/025], Step [0060/0253], [lateral-3: 0.2475], [lateral-2: 0.1773], [lateral-1: 0.1615], [edge: 0.2385]
2023-03-10 19:27:00.569235 Epoch [024/025], Step [0120/0253], [lateral-3: 0.2491], [lateral-2: 0.1795], [lateral-1: 0.1636], [edge: 0.2345]
2023-03-10 19:27:25.729349 Epoch [024/025], Step [0180/0253], [lateral-3: 0.2493], [lateral-2: 0.1795], [lateral-1: 0.1635], [edge: 0.2351]
2023-03-10 19:27:50.887445 Epoch [024/025], Step [0240/0253], [lateral-3: 0.2502], [lateral-2: 0.1804], [lateral-1: 0.1643], [edge: 0.2362]
2023-03-10 19:27:56.124518 Epoch [024/025], Step [0253/0253], [lateral-3: 0.2503], [lateral-2: 0.1804], [lateral-1: 0.1642], [edge: 0.2361]
[Saving Snapshot:]checkpoints/BGNet/BGNet-24.pth
2023-03-11 16:45:56.144969 Epoch [000/025], Step [0060/0505], [lateral-3: 1.0457], [lateral-2: 1.1873], [lateral-1: 1.2445], [edge: 0.7872]
2023-03-11 16:46:48.450315 Epoch [000/025], Step [0120/0505], [lateral-3: 0.9340], [lateral-2: 1.0717], [lateral-1: 1.1440], [edge: 0.7482]
2023-03-11 16:47:40.982677 Epoch [000/025], Step [0180/0505], [lateral-3: 0.8757], [lateral-2: 1.0063], [lateral-1: 1.0873], [edge: 0.7136]
2023-03-11 16:48:33.397091 Epoch [000/025], Step [0240/0505], [lateral-3: 0.8268], [lateral-2: 0.9531], [lateral-1: 1.0434], [edge: 0.6796]
2023-03-11 16:50:42.163453 Epoch [000/025], Step [0060/0505], [lateral-3: 1.0403], [lateral-2: 1.1822], [lateral-1: 1.2410], [edge: 0.7891]
